s1@hostel.iiit.ac.in,20171001,first01,last01,1234567801,gaurd01,2345678901,ug17
s2@hostel.iiit.ac.in,20171002,first02,last02,1234567802,gaurd02,2345678902,ug17
s3@hostel.iiit.ac.in,20171003,first03,last03,1234567803,gaurd03,2345678903,ug17
s4@hostel.iiit.ac.in,20171004,first04,last04,1234567804,gaurd04,2345678904,ug17
s5@hostel.iiit.ac.in,20171005,first05,last05,1234567805,gaurd05,2345678905,ug17
s6@hostel.iiit.ac.in,20171006,first06,last06,1234567806,gaurd06,2345678906,ug17
s7@hostel.iiit.ac.in,20171007,first07,last07,1234567807,gaurd07,2345678907,ug17
s8@hostel.iiit.ac.in,20171008,first08,last08,1234567808,gaurd08,2345678908,ug17
s9@hostel.iiit.ac.in,20161001,first09,last09,1234567809,gaurd09,2345678909,ug16
s10@hostel.iiit.ac.in,20161002,first10,last10,1234567810,gaurd10,2345678910,ug16
s11@hostel.iiit.ac.in,20161003,first11,last11,1234567811,gaurd11,2345678911,ug16
s12@hostel.iiit.ac.in,20161004,first12,last12,1234567812,gaurd12,2345678912,ug16
s13@hostel.iiit.ac.in,20161005,first13,last13,1234567813,gaurd13,2345678913,ug16
s14@hostel.iiit.ac.in,20161006,first14,last14,1234567814,gaurd14,2345678914,ug16
s15@hostel.iiit.ac.in,20161007,first15,last15,1234567815,gaurd15,2345678915,ug16
s16@hostel.iiit.ac.in,20161008,first16,last16,1234567816,gaurd16,2345678916,ug16
s17@hostel.iiit.ac.in,20151001,first17,last17,1234567817,gaurd17,2345678917,ug15
s18@hostel.iiit.ac.in,20151002,first18,last18,1234567818,gaurd18,2345678918,ug15
s19@hostel.iiit.ac.in,20151003,first19,last19,1234567819,gaurd19,2345678919,ug15
s20@hostel.iiit.ac.in,20151004,first20,last20,1234567820,gaurd20,2345678920,ug15
s21@hostel.iiit.ac.in,20151005,first21,last21,1234567821,gaurd21,2345678921,ug15
s22@hostel.iiit.ac.in,20151006,first22,last22,1234567822,gaurd22,2345678922,ug15
s23@hostel.iiit.ac.in,20151007,first23,last23,1234567823,gaurd23,2345678923,ug15
s24@hostel.iiit.ac.in,20151008,first24,last24,1234567824,gaurd24,2345678924,ug15
s25@hostel.iiit.ac.in,20151009,first25,last25,1234567825,gaurd25,2345678925,ug15
s26@hostel.iiit.ac.in,20151010,first26,last26,1234567826,gaurd26,2345678926,ug15
s27@hostel.iiit.ac.in,20161009,first27,last27,1234567827,gaurd27,2345678927,ug16
s28@hostel.iiit.ac.in,20161010,first28,last28,1234567828,gaurd28,2345678928,ug16
s29@hostel.iiit.ac.in,20171009,first29,last29,1234567829,gaurd29,2345678929,ug17
s30@hostel.iiit.ac.in,20171010,first30,last30,1234567830,gaurd30,2345678930,ug17
s31@hostel.iiit.ac.in,20161011,first31,last31,1234567831,gaurd31,2345678931,ug16
s32@hostel.iiit.ac.in,20171011,first32,last32,1234567832,gaurd32,2345678932,ug17
