s1@hostel.iiit.ac.in,101,20161001,Bakul,BW1
s2@hostel.iiit.ac.in,201,20161002,Bakul,BW2
s3@hostel.iiit.ac.in,101,20151002,Palash,PalW1
s4@hostel.iiit.ac.in,201,20151003,Palash,PalW2
s5@hostel.iiit.ac.in,101,20151007,Parijaat,ParW1
s6@hostel.iiit.ac.in,201,20151008,Parijaat,ParW1
s7@hostel.iiit.ac.in,101,20161010,NBH,NW1
s8@hostel.iiit.ac.in,201,20171009,NBH,NW2
s9@hostel.iiit.ac.in,101,20171001,Bakul,BW1
s10@hostel.iiit.ac.in,201,20171002,Bakul,BW2
s11@hostel.iiit.ac.in,102,20161007,Bakul,BW1
s12@hostel.iiit.ac.in,102,20151004,Palash,PalW1
s13@hostel.iiit.ac.in,102,20151009,Parijaat,ParW1
s14@hostel.iiit.ac.in,102,20171010,NBH,NW1
s15@hostel.iiit.ac.in,102,20161003,Bakul,BW1
s16@hostel.iiit.ac.in,202,20151001,Bakul,BW2
s17@hostel.iiit.ac.in,202,20161008,Bakul,BW2
s18@hostel.iiit.ac.in,101,20171003,Palash,PalW1
s19@hostel.iiit.ac.in,201,20171004,Palash,PalW2
s20@hostel.iiit.ac.in,102,20161004,Palash,PalW1
s21@hostel.iiit.ac.in,202,20151006,Palash,PalW2
s22@hostel.iiit.ac.in,202,20151005,Palash,PalW2
s23@hostel.iiit.ac.in,101,20171005,Parijaat,ParW1
s24@hostel.iiit.ac.in,201,20171006,Parijaat,ParW2
s25@hostel.iiit.ac.in,102,20161005,Parijaat,ParW1
s26@hostel.iiit.ac.in,202,20161009,Parijaat,ParW2
s27@hostel.iiit.ac.in,202,20151010,Parijaat,ParW2
s28@hostel.iiit.ac.in,101,20171007,NBH,NW1
s29@hostel.iiit.ac.in,201,20171008,NBH,NW2
s30@hostel.iiit.ac.in,102,20161006,NBH,NW1
s31@hostel.iiit.ac.in,202,20171011,NBH,NW2
s32@hostel.iiit.ac.in,202,20161011,NBH,NW2
