s32@hostel.iiit.ac.in,1234567832,portal,IIITH
s11@hostel.iiit.ac.in,1234567811,hostel,Bakul
s12@hostel.iiit.ac.in,1234567812,hostel,Palash
s13@hostel.iiit.ac.in,1234567813,hostel,Parijaat
s14@hostel.iiit.ac.in,1234567814,hostel,NBH
s1@hostel.iiit.ac.in,1234567801,wing,BW1
s2@hostel.iiit.ac.in,1234567802,wing,BW2
s3@hostel.iiit.ac.in,1234567803,wing,PalW1
s4@hostel.iiit.ac.in,1234567804,wing,PalW2
s5@hostel.iiit.ac.in,1234567805,wing,ParW1
s6@hostel.iiit.ac.in,1234567806,wing,ParW2
s7@hostel.iiit.ac.in,1234567807,wing,NW1
s8@hostel.iiit.ac.in,1234567808,wing,NW2
