admin@hostel.iiit.ac.in,admin_pwd,1
warden1@hostel.iiit.ac.in,warden1_pwd,1
warden2@hostel.iiit.ac.in,warden2_pwd,0
warden3@hostel.iiit.ac.in,warden3_pwd,1
warden4@hostel.iiit.ac.in,warden4_pwd,1
s1@hostel.iiit.ac.in,s1_pwd,1
s2@hostel.iiit.ac.in,s2_pwd,1
s3@hostel.iiit.ac.in,s3_pwd,1
s4@hostel.iiit.ac.in,s4_pwd,1
s5@hostel.iiit.ac.in,s5_pwd,1
s6@hostel.iiit.ac.in,s6_pwd,1
s7@hostel.iiit.ac.in,s7_pwd,1
s8@hostel.iiit.ac.in,s8_pwd,1
s9@hostel.iiit.ac.in,s9_pwd,0
s10@hostel.iiit.ac.in,s10_pwd,1
s11@hostel.iiit.ac.in,s11_pwd,1
s12@hostel.iiit.ac.in,s12_pwd,1
s13@hostel.iiit.ac.in,s13_pwd,1
s14@hostel.iiit.ac.in,s14_pwd,1
s15@hostel.iiit.ac.in,s15_pwd,1
s16@hostel.iiit.ac.in,s16_pwd,1
s17@hostel.iiit.ac.in,s17_pwd,0
s18@hostel.iiit.ac.in,s18_pwd,1
s19@hostel.iiit.ac.in,s19_pwd,1
s20@hostel.iiit.ac.in,s20_pwd,1
s21@hostel.iiit.ac.in,s21_pwd,1
s22@hostel.iiit.ac.in,s22_pwd,1
s23@hostel.iiit.ac.in,s23_pwd,1
s24@hostel.iiit.ac.in,s24_pwd,1
s25@hostel.iiit.ac.in,s25_pwd,1
s26@hostel.iiit.ac.in,s26_pwd,1
s27@hostel.iiit.ac.in,s27_pwd,1
s28@hostel.iiit.ac.in,s28_pwd,1
s29@hostel.iiit.ac.in,s29_pwd,1
s30@hostel.iiit.ac.in,s30_pwd,0
s31@hostel.iiit.ac.in,s31_pwd,1
s32@hostel.iiit.ac.in,s32_pwd,1
